Country,Code,Flag
Albania,al,al.png
Andorra,ad,ad.png
Armenia,am,am.png
Austria,au,au.png
Azerbaijan,al,al.png
Belarus,by,by.png
Belgium,be,be.png
Bosnia and Herzegovina,ba,ba.png
Bulgaria,bg,bg.png
Croatia,hr,hr.png
Cyprus,cy,cy.png
Czechia,cz,cz.png
Denmark,dk,dk.png
Estonia,ee,ee.png
Finland,fi,fi.png
France,fr,fr.png
Georgia,ge,ge.png
Germany,de,de.png
Greece,gr,gr.png
Hungary,hu,hu.png
Iceland,is,is.png
Ireland,ie,ie.png
Italy,it,it.png
Latvia,lv,lv.png
Liechtenstein,li,li.png
Lithuania,lt,lt.png
Luxembourg,lu,lu.png
Malta,mt,mt.png
Moldova,md,md.png
Monaco,mc,mc.png
Montenegro,me,me.png
Netherlands,nl,nl.png
Norway,no,no.png
Poland,pl,pl.png
Portugal,pt,pt.png
Romania,ro,ro.png
San Marino,sm,sm.png
Serbia,rs,rs.png
Slovakia,sk,sk.png
Slovenia,si,si.png
Spain,es,es.png
Sweden,se,se.png
Switzerland,ch,ch.png
Turkey,tr,tr.png
Ukraine,ua,ua.png
United Kingdom,gb,gb.png
Europe,eu,eu.png
Test Country,tc,tc.png
